,id,name,symbol,category,description,slug,logo,official_website,white_paper,price,date_added,tags,volume_24h,volume_change_24h,last_updated,percent_change_1h,percent_change_24h,percent_change_7d,percent_change_30d,percent_change_60d,percent_change_90d,market_cap,market_cap_dominance,fully_diluted_market_cap,buy_percentage,sell_percentage,transaction_frequency,retention_days,key_metrics,profile_id,is_positive_change
68,20396.0,Kaspa,KAS,coin,"Kaspa (KAS) is a cryptocurrency launched in 2021. Users are able to generate KAS through the process of mining. Kaspa has a current supply of 25,233,217,208.91129. The last known price of Kaspa is 0.14771944 USD and is down -1.30 over the last 24 hours. It is currently trading on 155 active market(s) with $168,790,720.74 traded over the last 24 hours. More information can be found at https://www.kaspa.org.",kaspa,https://s2.coinmarketcap.com/static/img/coins/64x64/20396.png,https://eprint.iacr.org/2018/104.pdf,https://eprint.iacr.org/2018/104.pdf,0.1474851619106472,2022-06-01T00:03:58.000Z,"['mineable', 'dag', 'pow', 'store-of-value', 'polychain-capital-portfolio', 'layer-1']",168244186.2130572,-14.3107,2024-11-26T17:44:00.000Z,-0.19139344,-1.22653759,-10.35327349,19.64934307,-12.38137039,-8.48463028,3721546448.5330696,0.1163,4233418010.74,__nan__,__nan__,__nan__,3.0,"[{'tag': 'Market cap', 'value': 3.72, 'sign': 'B'}, {'tag': 'Trading volume', 'value': 168.24, 'sign': 'M'}, {'tag': 'Buy', 'value': '__nan__', 'sign': '%'}, {'tag': 'Sell', 'value': '__nan__', 'sign': '%'}]",crypto_kas,False
69,20947.0,Sui,SUI,coin,"Sui (SUI) is a cryptocurrency . Sui has a current supply of 10,000,000,000 with 2,845,750,695.583888 in circulation. The last known price of Sui is 3.47110666 USD and is up 9.26 over the last 24 hours. It is currently trading on 432 active market(s) with $2,242,441,527.22 traded over the last 24 hours. More information can be found at https://sui.io/#.",sui,https://s2.coinmarketcap.com/static/img/coins/64x64/20947.png,https://docs.sui.io/,https://docs.sui.io/,3.4661376192450546,2022-07-12T08:03:11.000Z,"['binance-launchpool', 'coinbase-ventures-portfolio', 'binance-labs-portfolio', 'electric-capital-portfolio', 'a16z-portfolio', 'sui-ecosystem', 'layer-1', 'move-vm']",2236932535.9687014,51.6394,2024-11-26T17:44:00.000Z,-1.00416297,9.62579217,-7.68505114,93.06953521,112.82477571,337.88599764,9863763540.956097,0.3082,34661376192.45,0.4535149954801534,0.5464850045198467,50000,3.0,"[{'tag': 'Market cap', 'value': 9.86, 'sign': 'B'}, {'tag': 'Trading volume', 'value': 2.24, 'sign': 'B'}, {'tag': 'Buy', 'value': 0.4535149954801534, 'sign': '%'}, {'tag': 'Sell', 'value': 0.5464850045198467, 'sign': '%'}]",crypto_sui,True
70,21159.0,Ondo,ONDO,token,"Ondo (ONDO) is a cryptocurrency launched in 2021and operates on the Ethereum platform. Ondo has a current supply of 10,000,000,000 with 1,389,759,838.4783604 in circulation. The last known price of Ondo is 0.99867456 USD and is down -2.30 over the last 24 hours. It is currently trading on 221 active market(s) with $175,857,003.74 traded over the last 24 hours. More information can be found at https://ondo.foundation/.",ondo-finance,https://s2.coinmarketcap.com/static/img/coins/64x64/21159.png,https://docs.ondo.foundation/ondo-token,https://docs.ondo.foundation/ondo-token,0.9965251934117992,2024-01-18T12:06:25.000Z,"['ethereum-ecosystem', 'real-world-assets']",175486303.46618497,-19.2018,2024-11-26T17:44:00.000Z,-1.04025289,-2.1942207,-4.32210996,43.55547365,18.79359092,51.26932663,1384930691.835599,0.0432,9965251934.12,0.45424432665780806,0.545755673342192,50000,3.0,"[{'tag': 'Market cap', 'value': 1.38, 'sign': 'B'}, {'tag': 'Trading volume', 'value': 175.49, 'sign': 'M'}, {'tag': 'Buy', 'value': 0.45424432665780806, 'sign': '%'}, {'tag': 'Sell', 'value': 0.545755673342192, 'sign': '%'}]",crypto_ondo,False
71,21794.0,Aptos,APT,coin,"Aptos (APT) is a cryptocurrency launched in 2022. Aptos has a current supply of 1,127,888,096.7690952 with 533,866,366.8354325 in circulation. The last known price of Aptos is 11.71338221 USD and is down -2.41 over the last 24 hours. It is currently trading on 439 active market(s) with $559,752,074.93 traded over the last 24 hours. More information can be found at https://aptosfoundation.org.",aptos,https://s2.coinmarketcap.com/static/img/coins/64x64/21794.png,https://aptosfoundation.org/whitepaper,https://aptosfoundation.org/whitepaper,11.697944843247269,2022-10-19T01:50:25.000Z,"['binance-labs-portfolio', 'aptos-ecosystem', 'circle-ventures-portfolio', 'layer-1', 'ftx-bankruptcy-estate', 'move-vm']",558547327.0612371,-15.8372,2024-11-26T17:44:00.000Z,-0.61802707,-2.24579074,-0.90712094,27.14823713,42.28943292,70.7521197,6245139195.500509,0.1951,13193972627.95,0.4791324777938853,0.5208675222061148,18785,3.0,"[{'tag': 'Market cap', 'value': 6.25, 'sign': 'B'}, {'tag': 'Trading volume', 'value': 558.55, 'sign': 'M'}, {'tag': 'Buy', 'value': 0.4791324777938853, 'sign': '%'}, {'tag': 'Sell', 'value': 0.5208675222061148, 'sign': '%'}]",crypto_apt,False
72,22691.0,Starknet,STRK,token,"Starknet (STRK) is a cryptocurrency and operates on the Ethereum platform. Starknet has a current supply of 10,000,000,000 with 2,099,455,075 in circulation. The last known price of Starknet is 0.56290663 USD and is down -4.36 over the last 24 hours. It is currently trading on 196 active market(s) with $305,818,156.01 traded over the last 24 hours. More information can be found at https://starknet.io/.",starknet-token,https://s2.coinmarketcap.com/static/img/coins/64x64/22691.png,https://starknet.io/docs/,https://starknet.io/docs/,0.5613884077080448,2024-02-20T12:19:19.000Z,"['zero-knowledge-proofs', 'dapp', 'ethereum-ecosystem', 'layer-2', 'rollups']",304923379.8157926,-12.1704,2024-11-26T17:44:00.000Z,-2.29760162,-4.30803064,15.89429033,48.71755544,16.52486032,56.40486002,1178609741.6088238,0.0368,5613884077.08,0.6246816027738964,0.37531839722610366,11709,3.0,"[{'tag': 'Market cap', 'value': 1.18, 'sign': 'B'}, {'tag': 'Trading volume', 'value': 304.92, 'sign': 'M'}, {'tag': 'Buy', 'value': 0.6246816027738964, 'sign': '%'}, {'tag': 'Sell', 'value': 0.37531839722610366, 'sign': '%'}]",crypto_strk,False
73,22861.0,Celestia,TIA,token,"Celestia (TIA) is a cryptocurrency and operates on the Osmosis platform. Celestia has a current supply of 1,085,752,109.588745 with 430,992,137.670899 in circulation. The last known price of Celestia is 8.26660056 USD and is up 6.08 over the last 24 hours. It is currently trading on 236 active market(s) with $975,750,590.06 traded over the last 24 hours. More information can be found at https://www.celestia.org.",celestia,https://s2.coinmarketcap.com/static/img/coins/64x64/22861.png,https://arxiv.org/abs/1905.09274,https://arxiv.org/abs/1905.09274,8.256568572120951,2023-10-31T16:51:41.000Z,"['platform', 'cosmos-ecosystem', 'modular-blockchain', 'egirl-capital-portfolio', 'data-availability', 'cmc-crypto-awards-2024']",974797361.3826773,-4.0936,2024-11-26T17:44:00.000Z,-3.06016505,5.89886165,57.49573135,56.10765862,30.49713353,72.90090436,3558516138.7247705,0.1112,8964586745.14,0.529580180959096,0.47041981904090396,50000,3.0,"[{'tag': 'Market cap', 'value': 3.56, 'sign': 'B'}, {'tag': 'Trading volume', 'value': 974.8, 'sign': 'M'}, {'tag': 'Buy', 'value': 0.529580180959096, 'sign': '%'}, {'tag': 'Sell', 'value': 0.47041981904090396, 'sign': '%'}]",crypto_tia,True
74,22974.0,Bittensor,TAO,token,"Bittensor (TAO) is a cryptocurrency launched in 2021. Bittensor has a current supply of 7,380,936. The last known price of Bittensor is 529.9851283 USD and is up 3.24 over the last 24 hours. It is currently trading on 107 active market(s) with $529,505,006.78 traded over the last 24 hours. More information can be found at https://bittensor.com.",bittensor,https://s2.coinmarketcap.com/static/img/coins/64x64/22974.png,https://drive.google.com/file/d/1VnsobL6lIAAqcA1_Tbm8AYIQscfJV4KU/view?usp=sharing,https://drive.google.com/file/d/1VnsobL6lIAAqcA1_Tbm8AYIQscfJV4KU/view?usp=sharing,528.6264604128455,2023-03-06T05:20:00.000Z,"['ai-big-data', 'distributed-computing', 'oracles', 'dao', 'polkadot-ecosystem', 'polychain-capital-portfolio', 'dcg-portfolio', 'open-source', 'generative-ai', 'depin']",528769233.4333243,83.8072,2024-11-26T17:44:00.000Z,-0.78064924,3.56312407,8.65978126,3.54147024,-0.29557331,70.74674017,3901758072.2137465,0.1217,11101155668.67,0.45603195500879545,0.5439680449912045,6484,3.0,"[{'tag': 'Market cap', 'value': 3.9, 'sign': 'B'}, {'tag': 'Trading volume', 'value': 528.77, 'sign': 'M'}, {'tag': 'Buy', 'value': 0.45603195500879545, 'sign': '%'}, {'tag': 'Sell', 'value': 0.5439680449912045, 'sign': '%'}]",crypto_tao,True
75,23095.0,Bonk,BONK,token,"Bonk (BONK) is a cryptocurrency launched in 2022and operates on the Ethereum platform. Bonk has a current supply of 92,691,888,709,650.234375 with 75,164,932,388,996.640625 in circulation. The last known price of Bonk is 0.00004197 USD and is down -4.75 over the last 24 hours. It is currently trading on 577 active market(s) with $793,496,065.18 traded over the last 24 hours. More information can be found at https://www.bonkcoin.com/.",bonk1,https://s2.coinmarketcap.com/static/img/coins/64x64/23095.png,https://assets-global.website-files.com/63d9862f53dc8e65d16eb0e0/63de6fb910d0b94a933c4a2f_BONK-PAPER-040223.pdf,https://assets-global.website-files.com/63d9862f53dc8e65d16eb0e0/63de6fb910d0b94a933c4a2f_BONK-PAPER-040223.pdf,4.1911146544095874e-05,2022-12-30T06:58:50.000Z,"['memes', 'solana-ecosystem', 'doggone-doggerel', 'dwf-labs-portfolio', 'cmc-crypto-awards-2024']",788499371.5182891,-29.7351,2024-11-26T17:44:00.000Z,-1.65209111,-4.48360194,-23.08212267,95.60166776,82.57796239,130.97254722,3150248495.3534102,0.0984,3885433204.59,0.4444400950325294,0.5555599049674707,50000,3.0,"[{'tag': 'Market cap', 'value': 3.15, 'sign': 'B'}, {'tag': 'Trading volume', 'value': 788.5, 'sign': 'M'}, {'tag': 'Buy', 'value': 0.4444400950325294, 'sign': '%'}, {'tag': 'Sell', 'value': 0.5555599049674707, 'sign': '%'}]",crypto_bonk,False
76,23149.0,Sei,SEI,coin,"Sei (SEI) is a cryptocurrency . Sei has a current supply of 10,000,000,000 with 4,249,583,333 in circulation. The last known price of Sei is 0.68846022 USD and is up 14.91 over the last 24 hours. It is currently trading on 224 active market(s) with $1,272,931,649.05 traded over the last 24 hours. More information can be found at https://www.sei.io/.",sei,https://s2.coinmarketcap.com/static/img/coins/64x64/23149.png,https://github.com/sei-protocol/sei-chain/blob/main/whitepaper/Sei_Whitepaper.pdf,https://github.com/sei-protocol/sei-chain/blob/main/whitepaper/Sei_Whitepaper.pdf,0.6878681395988759,2023-08-14T07:35:00.000Z,"['cosmos-ecosystem', 'coinbase-ventures-portfolio', 'multicoin-capital-portfolio', 'layer-1', 'jump-crypto', 'sei-ecosystem', 'parallel-evm']",1276197262.9017737,-24.9623,2024-11-26T17:44:00.000Z,1.11740395,15.16890348,37.03703673,80.59010361,49.69561827,129.80188958,2923152981.3411007,0.0913,6878681395.99,0.46766020389054913,0.5323397961094508,50000,3.0,"[{'tag': 'Market cap', 'value': 2.92, 'sign': 'B'}, {'tag': 'Trading volume', 'value': 1.28, 'sign': 'B'}, {'tag': 'Buy', 'value': 0.46766020389054913, 'sign': '%'}, {'tag': 'Sell', 'value': 0.5323397961094508, 'sign': '%'}]",crypto_sei,True
77,24478.0,Pepe,PEPE,token,"Pepe (PEPE) is a cryptocurrency launched in 2023and operates on the Ethereum platform. Pepe has a current supply of 420,689,899,999,994.7931. The last known price of Pepe is 0.0000181 USD and is down -4.96 over the last 24 hours. It is currently trading on 480 active market(s) with $2,930,154,505.23 traded over the last 24 hours. More information can be found at https://www.pepe.vip/.",pepe,https://s2.coinmarketcap.com/static/img/coins/64x64/24478.png,__nan__,,1.808330874678469e-05,2023-04-17T06:18:08.000Z,['memes'],2916762056.4853716,1.291,2024-11-26T17:44:00.000Z,-1.2238463,-4.65190216,-12.25685878,98.12314985,70.63602828,136.53322744,7607465348.353883,0.2377,7607467156.68,0.5766152801189759,0.42338471988102416,50000,3.0,"[{'tag': 'Market cap', 'value': 7.61, 'sign': 'B'}, {'tag': 'Trading volume', 'value': 2.92, 'sign': 'B'}, {'tag': 'Buy', 'value': 0.5766152801189759, 'sign': '%'}, {'tag': 'Sell', 'value': 0.42338471988102416, 'sign': '%'}]",crypto_pepe,False
78,26081.0,First Digital USD,FDUSD,token,"First Digital USD (FDUSD) is a cryptocurrency launched in 2023and operates on the Ethereum platform. First Digital USD has a current supply of 2,095,112,921.19. The last known price of First Digital USD is 0.99798341 USD and is up 0.08 over the last 24 hours. It is currently trading on 406 active market(s) with $11,580,269,293.76 traded over the last 24 hours. More information can be found at https://firstdigitallabs.com/.",first-digital-usd,https://s2.coinmarketcap.com/static/img/coins/64x64/26081.png,__nan__,,0.9975740584912018,2023-07-26T04:26:40.000Z,"['stablecoin', 'ethereum-ecosystem', 'binance-smart-chain', 'usd-stablecoin', 'sui-ecosystem', 'fiat-stablecoin']",11553035112.39777,20.0718,2024-11-26T17:44:00.000Z,-0.0479429,0.01782352,-0.01564677,-0.1695221,-0.14588264,-0.1987452,2090030299.7888658,0.0653,2090030299.79,__nan__,__nan__,__nan__,3.0,"[{'tag': 'Market cap', 'value': 2.09, 'sign': 'B'}, {'tag': 'Trading volume', 'value': 11.55, 'sign': 'B'}, {'tag': 'Buy', 'value': '__nan__', 'sign': '%'}, {'tag': 'Sell', 'value': '__nan__', 'sign': '%'}]",crypto_fdusd,True
79,27075.0,Mantle,MNT,token,"Mantle (MNT) is a cryptocurrency and operates on the Ethereum platform. Mantle has a current supply of 6,219,316,794.99 with 3,366,841,707.8368406 in circulation. The last known price of Mantle is 0.80645199 USD and is down -4.80 over the last 24 hours. It is currently trading on 96 active market(s) with $123,414,722.37 traded over the last 24 hours. More information can be found at https://www.mantle.xyz/.",mantle,https://s2.coinmarketcap.com/static/img/coins/64x64/27075.png,https://docs.mantle.xyz/network/introduction/overview,https://docs.mantle.xyz/network/introduction/overview,0.8048226160366805,2023-07-17T11:00:31.000Z,"['ethereum-ecosystem', 'layer-2', 'dwf-labs-portfolio']",123324975.84569924,-5.3783,2024-11-26T17:44:00.000Z,-0.11287609,-4.71880928,8.42193371,36.89023327,22.3304882,35.59583799,2709710351.082651,0.0846,5005446812.91,0.03292092250637706,0.967079077493623,3179,3.0,"[{'tag': 'Market cap', 'value': 2.71, 'sign': 'B'}, {'tag': 'Trading volume', 'value': 123.32, 'sign': 'M'}, {'tag': 'Buy', 'value': 0.03292092250637706, 'sign': '%'}, {'tag': 'Sell', 'value': 0.967079077493623, 'sign': '%'}]",crypto_mnt,False
