,id,name,symbol,category,description,slug,logo,tags,tag-names,tag-groups,date_added,price,volume_24h,volume_change_24h,percent_change_1h,percent_change_24h,percent_change_7d,percent_change_30d,percent_change_60d,percent_change_90d,market_cap,market_cap_dominance,fully_diluted_market_cap,last_updated,buy_percentage,sell_percentage,transaction_frequency,retention_days
11,1321.0,Ethereum Classic,ETC,coin,"Ethereum Classic (ETC) is a cryptocurrency . Users are able to generate ETC through the process of mining. Ethereum Classic has a current supply of 210,700,000 with 132,875,198.8441416 in circulation. The last known price of Ethereum Classic is 36.60440569 USD and is up 0.68 over the last 24 hours. It is currently trading on 286 active market(s) with $1,325,240,799.33 traded over the last 24 hours. More information can be found at https://ethereumclassic.org/.",ethereum-classic,https://s2.coinmarketcap.com/static/img/coins/64x64/1321.png,"['mineable', 'pow', 'ethash', 'platform', 'smart-contracts', 'binance-smart-chain', 'dcg-portfolio']","['Mineable', 'PoW', 'Ethash', 'Platform', 'Smart Contracts', 'Binance Smart Chain Ecosystem', 'DCG Portfolio']","['OTHERS', 'ALGORITHM', 'ALGORITHM', 'CATEGORY', 'CATEGORY', 'PLATFORM', 'CATEGORY']",2016-07-24T00:00:00.000Z,36.49381826490002,1323244442.117207,44.5965,-0.52544606,0.48199791,29.50602713,19.91029233,-0.37715175,-33.79001293,4849123358.530557,0.245,7689247508.41,2022-02-11T12:41:00.000Z,0.5508861497772493,0.44911385022275074,5000,3.0
12,1376.0,Neo,NEO,coin,"Neo (NEO) is a cryptocurrency . Neo has a current supply of 100,000,000 with 70,538,831 in circulation. The last known price of Neo is 24.56737936 USD and is down -2.12 over the last 24 hours. It is currently trading on 239 active market(s) with $191,373,359.19 traded over the last 24 hours. More information can be found at https://neo.org/.",neo,https://s2.coinmarketcap.com/static/img/coins/64x64/1376.png,"['platform', 'enterprise-solutions', 'smart-contracts']","['Platform', 'Enterprise Solutions', 'Smart Contracts']","['CATEGORY', 'INDUSTRY', 'CATEGORY']",2016-09-08T00:00:00.000Z,24.54730337411195,189989135.77020335,-10.4116,0.22479592,-2.51878113,11.88778985,0.95268663,-9.01254442,-48.98730659,1731538084.2122128,0.0875,2454730337.41,2022-02-11T12:41:00.000Z,0.5118397262120791,0.4881602737879209,958,3.0
13,1437.0,Zcash,ZEC,coin,"Zcash (ZEC) is a cryptocurrency . Users are able to generate ZEC through the process of mining. Zcash has a current supply of 13,721,987.5. The last known price of Zcash is 129.68495708 USD and is up 0.99 over the last 24 hours. It is currently trading on 242 active market(s) with $404,704,853.88 traded over the last 24 hours. More information can be found at https://z.cash/.",zcash,https://s2.coinmarketcap.com/static/img/coins/64x64/1437.png,"['mineable', 'pow', 'equihash', 'medium-of-exchange', 'privacy', 'zero-knowledge-proofs', 'binance-chain', 'binance-smart-chain', 'boostvc-portfolio', 'dcg-portfolio', 'electric-capital-portfolio', 'fenbushi-capital-portfolio', 'hashkey-capital-portfolio', 'winklevoss-capital-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio']","['Mineable', 'PoW', 'Equihash', 'Medium of Exchange', 'Privacy', 'Zero Knowledge Proofs', 'Binance Chain', 'Binance Smart Chain Ecosystem', 'BoostVC Portfolio', 'DCG Portfolio', 'Electric Capital Portfolio', 'Fenbushi Capital Portfolio', 'Hashkey Capital Portfolio', 'Winklevoss Capital Portfolio', 'Placeholder Ventures Portfolio', 'Pantera Capital Portfolio']","['OTHERS', 'ALGORITHM', 'ALGORITHM', 'INDUSTRY', 'CATEGORY', 'CATEGORY', 'PLATFORM', 'PLATFORM', 'CATEGORY', 'CATEGORY', 'CATEGORY', 'CATEGORY', 'CATEGORY', 'CATEGORY', 'CATEGORY', 'CATEGORY']",2016-10-29T00:00:00.000Z,129.54396742207211,405360775.15068305,39.5356,1.21294186,1.11787343,27.66668099,-9.29794315,-21.61738697,-36.75058892,1777600701.6660807,0.0898,2720423315.86,2022-02-11T12:41:00.000Z,0.5035987453753824,0.4964012546246174,5000,3.0
14,1518.0,Maker,MKR,token,"Maker (MKR) is a cryptocurrency and operates on the Ethereum platform. Maker has a current supply of 977,631.03695089. The last known price of Maker is 2,116.53759471 USD and is down -8.41 over the last 24 hours. It is currently trading on 235 active market(s) with $86,614,672.86 traded over the last 24 hours. More information can be found at https://makerdao.com/.",maker,https://s2.coinmarketcap.com/static/img/coins/64x64/1518.png,"['store-of-value', 'defi', 'dao', 'binance-smart-chain', 'polychain-capital-portfolio', 'governance', 'lending-borowing', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'paradigm-portfolio', 'near-protocol-ecosystem', 'spartan-group']","['Store Of Value', 'DeFi', 'DAO', 'Binance Smart Chain Ecosystem', 'Polychain Capital Portfolio', 'Governance', 'Lending & Borrowing', 'DragonFly Capital Portfolio', 'Electric Capital Portfolio', 'a16z Portfolio', '1Confirmation Portfolio', 'Placeholder Ventures Portfolio', 'Pantera Capital Portfolio', 'Paradigm Portfolio', 'Near Protocol Ecosystem', 'Spartan Group']","['CATEGORY', 'CATEGORY', 'CATEGORY', 'PLATFORM', 'CATEGORY', 'CATEGORY', 'CATEGORY', 'CATEGORY', 'CATEGORY', 'CATEGORY', 'CATEGORY', 'CATEGORY', 'CATEGORY', 'CATEGORY', 'CATEGORY', 'CATEGORY']",2017-01-29T00:00:00.000Z,2116.704155746506,86687980.49745125,28.6664,0.39521914,-8.18834355,-7.49717219,-0.64971749,-11.92003391,-28.41710043,2069355678.7007146,0.1046,2128509014.82,2022-02-11T12:41:00.000Z,0.6392399589016337,0.3607600410983664,3245,3.0
15,1697.0,Basic Attention Token,BAT,token,"Basic Attention Token (BAT) is a cryptocurrency and operates on the Ethereum platform. Basic Attention Token has a current supply of 1,500,000,000 with 1,495,079,069.4473505 in circulation. The last known price of Basic Attention Token is 0.88415921 USD and is down -5.26 over the last 24 hours. It is currently trading on 280 active market(s) with $146,334,518.35 traded over the last 24 hours. More information can be found at https://basicattentiontoken.org/.",basic-attention-token,https://s2.coinmarketcap.com/static/img/coins/64x64/1697.png,"['marketing', 'content-creation', 'defi', 'payments', 'binance-smart-chain', 'dcg-portfolio', '1confirmation-portfolio', 'pantera-capital-portfolio', 'web3']","['Marketing', 'Content Creation', 'DeFi', 'Payments', 'Binance Smart Chain Ecosystem', 'DCG Portfolio', '1Confirmation Portfolio', 'Pantera Capital Portfolio', 'Web3']","['INDUSTRY', 'INDUSTRY', 'CATEGORY', 'INDUSTRY', 'PLATFORM', 'CATEGORY', 'CATEGORY', 'CATEGORY', 'INDUSTRY']",2017-06-01T00:00:00.000Z,0.8836654655831748,146438899.38464037,54.581,0.41158586,-5.21828924,2.73267253,-19.16047,-20.85489843,-26.49194059,1321149741.9868526,0.0668,1325498198.37,2022-02-11T12:41:00.000Z,0.5671068965931967,0.4328931034068033,2612,3.0
16,1720.0,IOTA,MIOTA,coin,"IOTA (MIOTA) is a cryptocurrency launched in 2015. IOTA has a current supply of 2,779,530,283. The last known price of IOTA is 0.96846137 USD and is down -3.70 over the last 24 hours. It is currently trading on 72 active market(s) with $53,409,029.22 traded over the last 24 hours. More information can be found at https://www.iota.org/.",iota,https://s2.coinmarketcap.com/static/img/coins/64x64/1720.png,"['dag', 'medium-of-exchange', 'iot', 'sharing-economy', 'binance-smart-chain']","['DAG', 'Medium of Exchange', 'IoT', 'Sharing Economy', 'Binance Smart Chain Ecosystem']","['ALGORITHM', 'INDUSTRY', 'INDUSTRY', 'INDUSTRY', 'PLATFORM']",2017-06-13T00:00:00.000Z,0.9701431619672382,53268528.33399931,-11.6238,0.95016452,-3.28570186,4.81904691,-18.04157459,-12.85543163,-25.3593145,2696542297.5333123,0.1363,2696542297.53,2022-02-11T12:41:00.000Z,,,,3.0
17,1765.0,EOS,EOS,coin,"EOS (EOS) is a cryptocurrency . EOS has a current supply of 1,046,804,935.4817 with 980,218,710.1522 in circulation. The last known price of EOS is 2.58360614 USD and is down -4.82 over the last 24 hours. It is currently trading on 422 active market(s) with $542,705,358.72 traded over the last 24 hours. More information can be found at https://eos.io/.",eos,https://s2.coinmarketcap.com/static/img/coins/64x64/1765.png,"['medium-of-exchange', 'enterprise-solutions', 'smart-contracts', 'binance-chain', 'binance-smart-chain', 'fenbushi-capital-portfolio', 'galaxy-digital-portfolio']","['Medium of Exchange', 'Enterprise Solutions', 'Smart Contracts', 'Binance Chain', 'Binance Smart Chain Ecosystem', 'Fenbushi Capital Portfolio', 'Galaxy Digital Portfolio']","['INDUSTRY', 'INDUSTRY', 'CATEGORY', 'PLATFORM', 'PLATFORM', 'CATEGORY', 'CATEGORY']",2017-07-01T00:00:00.000Z,2.5803934273545965,542438396.2289599,62.7508,0.29958005,-4.85650585,7.91647544,-9.10997781,-22.41816293,-46.81692715,2529349917.046737,0.1278,2701168575.24,2022-02-11T12:41:00.000Z,0.5088619118125086,0.49113808818749133,5000,3.0
18,1831.0,Bitcoin Cash,BCH,coin,"Bitcoin Cash (BCH) is a cryptocurrency . Users are able to generate BCH through the process of mining. Bitcoin Cash has a current supply of 18,980,156.25. The last known price of Bitcoin Cash is 338.00421839 USD and is down -5.87 over the last 24 hours. It is currently trading on 567 active market(s) with $4,404,753,799.51 traded over the last 24 hours. More information can be found at http://bch.info.",bitcoin-cash,https://s2.coinmarketcap.com/static/img/coins/64x64/1831.png,"['mineable', 'pow', 'sha-256', 'marketplace', 'medium-of-exchange', 'store-of-value', 'enterprise-solutions', 'payments', 'binance-chain', 'binance-smart-chain']","['Mineable', 'PoW', 'SHA-256', 'Marketplace', 'Medium of Exchange', 'Store Of Value', 'Enterprise Solutions', 'Payments', 'Binance Chain', 'Binance Smart Chain Ecosystem']","['OTHERS', 'ALGORITHM', 'ALGORITHM', 'INDUSTRY', 'INDUSTRY', 'CATEGORY', 'INDUSTRY', 'INDUSTRY', 'PLATFORM', 'PLATFORM']",2017-07-23T00:00:00.000Z,337.674111621315,4405674498.743719,4.0333,0.47424221,-5.81926922,17.59156765,-10.34647476,-24.68519337,-48.73358739,6409107400.152499,0.3239,7091156344.05,2022-02-11T12:41:00.000Z,0.5569914213187077,0.4430085786812923,5000,3.0
19,1839.0,BNB,BNB,coin,"BNB (BNB) is a cryptocurrency . BNB has a current supply of 165,116,760.89. The last known price of BNB is 416.51516761 USD and is down -2.35 over the last 24 hours. It is currently trading on 682 active market(s) with $2,046,052,189.25 traded over the last 24 hours. More information can be found at https://www.binance.com/.",bnb,https://s2.coinmarketcap.com/static/img/coins/64x64/1839.png,"['marketplace', 'centralized-exchange', 'payments', 'smart-contracts', 'binance-smart-chain', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'moonriver-ecosystem']","['Marketplace', 'Centralized Exchange', 'Payments', 'Smart Contracts', 'Binance Smart Chain Ecosystem', 'Alameda Research Portfolio', 'Multicoin Capital Portfolio', 'Moonriver Ecosystem']","['INDUSTRY', 'CATEGORY', 'INDUSTRY', 'CATEGORY', 'PLATFORM', 'CATEGORY', 'CATEGORY', 'CATEGORY']",2017-07-25T00:00:00.000Z,416.41039301557936,2039721237.3149745,22.4066,0.09514112,-2.07008009,10.0798119,-11.98151196,-24.22339759,-33.83904709,68756335295.66434,3.4745,68756334925.06,2022-02-11T12:41:00.000Z,,,,3.0
20,1934.0,Loopring,LRC,token,"Loopring (LRC) is a cryptocurrency launched in 2017and operates on the Ethereum platform. Loopring has a current supply of 1,373,873,440.4424574 with 1,329,247,432.8078947 in circulation. The last known price of Loopring is 1.05372959 USD and is down -2.64 over the last 24 hours. It is currently trading on 177 active market(s) with $336,013,752.09 traded over the last 24 hours. More information can be found at https://loopring.org.",loopring,https://s2.coinmarketcap.com/static/img/coins/64x64/1934.png,"['marketplace', 'decentralized-exchange', 'defi', 'scaling', 'rollups']","['Marketplace', 'Decentralized Exchange', 'DeFi', 'Scaling', 'Rollups']","['INDUSTRY', 'CATEGORY', 'CATEGORY', 'CATEGORY', 'CATEGORY']",2017-08-30T00:00:00.000Z,1.0633328376770428,337803307.9236473,37.6501,1.79598617,-1.19960936,21.47914929,-31.44222882,-54.84501831,-60.65502998,1413432444.702543,0.0714,1461565761.46,2022-02-11T12:41:00.000Z,0.48832182281242464,0.5116781771875754,5000,3.0
