Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
MSFT,Microsoft Corporation,$460.55,,,$3.42T,US,,5326689,Technology,Software - Infrastructure
NVDA,NVIDIA Corporation,$137.2,,,$3.35T,US,,87648143,Technology,Semiconductors
AAPL,Apple Inc.,$200.61,,,$3.00T,US,,14780785,Technology,Consumer Electronics
AMZN,"Amazon.com, Inc.",$205.11,,,$2.18T,US,,11635055,Consumer Cyclical,Specialty Retail
GOOGL,Alphabet Inc.,$168.82,,,$2.06T,US,,16958563,Communication Services,Internet Content & Information
GOOG,Alphabet Inc.,$170.02,,,$2.06T,US,,10241198,Communication Services,Internet Content & Information
META,"Meta Platforms, Inc.",$658.4,,,$1.66T,US,,5207309,Communication Services,Internet Content & Information
VITSX,Vanguard Total Stock Market Index Fund,$141.3,,,$1.20T,US,,,Financial Services,Asset Management
VTSAX,Vanguard Total Stock Market Index Fund,$141.28,,,$1.20T,US,,,Financial Services,Asset Management
AVGO,Broadcom Inc.,$248.56,,,$1.17T,US,,8346275,Technology,Semiconductors
TSLA,"Tesla, Inc.",$336.87,,,$1.08T,US,,45593448,Consumer Cyclical,Auto - Manufacturers
FXAIX,Fidelity 500 Index Fund,$205.65,,,$593.97B,US,,,Financial Services,Asset Management
NFLX,"Netflix, Inc.",$1215.37,,,$517.23B,US,,1075050,Communication Services,Entertainment
COST,Costco Wholesale Corporation,$1047.59,,,$464.80B,US,,894818,Consumer Defensive,Discount Stores
PLTR,Palantir Technologies Inc.,$130.73,,,$308.51B,US,,52612860,Technology,Software - Infrastructure
VIIIX,Vanguard Institutional Index Fund,$481.41,,,$290.08B,US,,,Financial Services,Asset Management
AGTHX,American Funds The Growth Fund of America Class A,$76.89,,,$279.56B,US,,,Financial Services,Asset Management
RGAGX,American Funds The Growth Fund of America Class R-6,$77.08,,,$279.56B,US,,,Financial Services,Asset Management
GAFFX,American Funds The Growth Fund of America Class F-3,$77,,,$279.56B,US,,,Financial Services,Asset Management
TMUS,"T-Mobile US, Inc.",$243.015,,,$275.93B,US,,936387,Communication Services,Telecommunications Services
GFAFX,The Growth Fund of America Class F-1 Shares,$76.16,,,$269.62B,US,,,Financial Services,Asset Management
CGFAX,American Funds Growth Fund of Amer 529A,$75.54,,,$267.43B,US,,,,
CSCO,"Cisco Systems, Inc.",$63.31,,,$250.71B,US,,4756013,Technology,Communication Equipment
RGABX,American Funds The Growth Fund of America Class R-2,$68.37,,,$242.05B,US,,,Financial Services,Asset Management
RGAAX,The Growth Fund of America Class R-1 Shares,$67.24,,,$238.05B,US,,,Financial Services,Asset Management
GFACX,American Funds The Growth Fund of America,$65.64,,,$232.38B,US,,,Financial Services,Asset Management
BALFX,"American Funds American Balanced Fund, Class F-1 Shs",$35.36,,,$232.27B,US,,,Financial Services,Asset Management
AMBFX,American Balanced Fund Class F-2 Shs,$35.37,,,$232.27B,US,,,Financial Services,Asset Management
ABALX,American Funds American Balanced Fund Class A,$35.4,,,$232.27B,US,,,Financial Services,Asset Management
CLBAX,American Funds American Balanced 529A,$35.31,,,$232.27B,US,,,,
RLBGX,American Funds American Balanced Fund Class R-6,$35.43,,,$232.27B,US,,,Financial Services,Asset Management
AFMBX,American Funds American Balanced Fund,$35.39,,,$232.27B,US,,,Financial Services,Asset Management
INTU,Intuit Inc.,$761.81,,,$212.50B,US,,661253,Technology,Software - Application
ISRG,"Intuitive Surgical, Inc.",$551,,,$197.49B,US,,279196,Healthcare,Medical - Instruments & Supplies
AMD,"Advanced Micro Devices, Inc.",$113.36,,,$183.80B,US,,16314353,Technology,Semiconductors
PONPX,PIMCO Income Fund,$10.62,,,$180.74B,US,,,Financial Services,Asset Management - Income
PIMIX,PIMCO Income Fund Institutional Class,$10.62,,,$180.74B,US,,,Financial Services,Asset Management - Income
BKNG,Booking Holdings Inc.,$5497.49,,,$178.89B,US,,45842,Consumer Cyclical,Travel Services
PEP,"PepsiCo, Inc.",$129.83,,,$178.01B,US,,2800686,Consumer Defensive,Beverages - Non-Alcoholic
ADBE,Adobe Inc.,$397.46,,,$169.40B,US,,1873342,Technology,Software - Infrastructure
TXN,Texas Instruments Incorporated,$183.105,,,$166.35B,US,,1127207,Technology,Semiconductors
QCOM,QUALCOMM Incorporated,$145.6,,,$159.87B,US,,1676820,Technology,Semiconductors
AMGN,Amgen Inc.,$288.59,,,$155.18B,US,,729955,Healthcare,Drug Manufacturers - General
FCTDX,Strategic Advisers Fidelity US TtlStk,$17.56,,,$147.81B,US,,,Financial Services,Asset Management
CICAX,American Funds Invmt Co of Amer 529A,$59.69,,,$147.16B,US,,,,
FFICX,American Funds Invmt Co of Amer F3,$59.91,,,$147.16B,US,,,,
RICAX,American Funds Investment Company of America Class R-1,$59.14,,,$147.16B,US,,,Financial Services,Asset Management
AICCX,American Funds Investment Co of America C,$58.94,,,$147.16B,US,,,Financial Services,Asset Management
AICFX,American Funds Investment Co of America Cl F-1 Shs,$59.7,,,$147.16B,US,,,Financial Services,Asset Management
AIVSX,American Funds Invmt Co of Amer A,$59.93,,,$147.16B,US,,,Financial Services,Asset Management
RICBX,American Funds Invmt Co of Amer R2,$59.23,,,$147.16B,US,,,Financial Services,Asset Management
FCNKX,Fidelity Contrafund K,$21.93,,,$145.11B,US,,,Financial Services,Asset Management
FCNTX,Fidelity Contrafund Fund,$21.85,,,$145.11B,US,,,Financial Services,Asset Management
HON,Honeywell International Inc.,$224.99,,,$144.60B,US,,731117,Industrials,Conglomerates
AWSHX,American Funds Washington Mutual A,$64.09,,,$143.94B,US,,,Financial Services,Asset Management
RWMFX,American Funds Washington Mutual R5,$64.07,,,$143.90B,US,,,Financial Services,Asset Management
CWMAX,American Funds Washington Mutual 529A,$63.86,,,$143.43B,US,,,Financial Services,Asset Management
WSHFX,American Funds Washington Mutual F1,$63.72,,,$143.11B,US,,,Financial Services,Asset Management
WSHCX,American Funds Washington Mutual C,$62.78,,,$141.00B,US,,,Financial Services,Asset Management
RWMBX,American Funds Washington Mutual R2,$62.6,,,$140.60B,US,,,Financial Services,Asset Management
NPFFX,"New Perspective Fund, Class F-1 Shares",$66.05,,,$139.97B,US,,,Financial Services,Asset Management
FNPFX,American Funds New Perspective Fund,$66.69,,,$139.97B,US,,,Financial Services,Asset Management
ANWPX,American Funds New Perspective Fund Class A,$66.61,,,$139.97B,US,,,Financial Services,Asset Management
RNPGX,American Funds New Perspective Fund Class R-6,$66.74,,,$139.97B,US,,,Financial Services,Asset Management
VGSLX,Vanguard Real Estate Index Fund Admiral Shares,$126.67,,,$139.32B,US,,,Real Estate,Real Estate - General
GILD,"Gilead Sciences, Inc.",$108.31,,,$134.73B,US,,5149727,Healthcare,Drug Manufacturers - General
AFIFX,"Fundamental Investors, Class F01 Shares",$84.46,,,$134.72B,US,,,Financial Services,Asset Management
FUNFX,American Funds Fundamental Invs F3,$84.49,,,$134.72B,US,,,,
ANCFX,American Funds Fundamental Investors,$84.52,,,$134.72B,US,,,Financial Services,Asset Management
CFNAX,American Funds Fundamental Investors Class 529-A,$84.31,,,$134.72B,US,,,Financial Services,Asset Management
RFNCX,American Funds Fundamental Invs R3,$84.18,,,$134.72B,US,,,,
APP,AppLovin Corporation,$396.09,,,$134.03B,US,,3084960,Technology,Software - Application
ADP,"Automatic Data Processing, Inc.",$324.1,,,$131.56B,US,,342521,Industrials,Staffing & Employment Services
PANW,"Palo Alto Networks, Inc.",$192.77,,,$128.54B,US,,1811497,Technology,Software - Infrastructure
FIFAX,American Funds Income Fund of Amer F3,$26.09,,,$127.45B,US,,,,
AMECX,American Funds The Income Fund of America Class A,$26.1,,,$127.45B,US,,,Financial Services,Asset Management - Income
RIDGX,American Funds The Income Fund of America,$26.12,,,$127.45B,US,,,Financial Services,Asset Management - Income
IFAFX,"The Income Fund of America, Class F-1 Shares",$26,,,$127.45B,US,,,Financial Services,Asset Management - Income
CMCSA,Comcast Corporation,$34.06,,,$126.85B,US,,6233291,Communication Services,Telecommunications Services
AEPGX,American Funds EuroPacific Growth Fund Class A,$59.96,,,$126.49B,US,,,Financial Services,Asset Management
AEPFX,American Funds EuroPacific Growth Fund,$59.84,,,$126.49B,US,,,Financial Services,Asset Management
RERHX,American Funds Europacific Growth R5E,$59.49,,,$126.49B,US,,,Financial Services,Asset Management
AEGFX,American Funds EuroPacific Growth Cl F-1 Shs,$59.66,,,$126.49B,US,,,Financial Services,Asset Management
RERGX,American Funds EuroPacific Growth Fund Class R-6,$60.05,,,$126.49B,US,,,Financial Services,Asset Management
AMAT,"Applied Materials, Inc.",$156.25,,,$125.39B,US,,2049143,Technology,Semiconductors
CWIAX,American Funds Capital World Growth and Income Fund Class 529-A,$67.6,,,$122.85B,US,,,Financial Services,Asset Management - Income
RWICX,American Funds Capital World Growth and Income Fund Class R-3,$67.3,,,$122.85B,US,,,Financial Services,Asset Management - Income
CWGIX,American Funds Capital World Growth and Income Fund Class A,$67.92,,,$122.85B,US,,,Financial Services,Asset Management - Income
CWGFX,American Funds Capital World Growth & Income Fund Class F-1 Shs,$67.72,,,$122.85B,US,,,Financial Services,Asset Management - Income
CRWD,"CrowdStrike Holdings, Inc.",$472.94,,,$117.80B,US,,1413977,Technology,Software - Infrastructure
FISV,"Fiserv, Inc.",$114.23,,,,US,,20051164,Technology,Information Technology Services
VRTX,Vertex Pharmaceuticals Incorporated,$444.74,,,$114.21B,US,,276965,Healthcare,Biotechnology
DOXGX,Dodge & Cox Stock Fund,$262.78,,,$109.77B,US,,,,
RIRGX,American Funds Capital Income Builder,$74.64,,,$109.35B,US,,,Financial Services,Asset Management - Income
CIBFX,Capital  Income Builder Cl F-1 Shs,$74.64,,,$109.35B,US,,,Financial Services,Asset Management - Income
CAIBX,American Funds Capital Income Builder Class A,$74.64,,,$109.35B,US,,,Financial Services,Asset Management - Income
CIRAX,American Funds Capital Income Builder Class 529-A,$74.61,,,$109.35B,US,,,Financial Services,Asset Management - Income
MU,"Micron Technology, Inc.",$96.2897,,,$107.61B,US,,4386571,Technology,Semiconductors
VWELX,Vanguard Wellington Fund,$43.71,,,$106.94B,US,,,Financial Services,Asset Management
ADI,"Analog Devices, Inc.",$213.61,,,$106.00B,US,,557655,Technology,Semiconductors
LRCX,Lam Research Corporation,$81.79,,,$104.62B,US,,2800555,Technology,Semiconductors
CME,CME Group Inc.,$288.515,,,$103.97B,US,,528542,Financial Services,Financial - Data & Stock Exchanges
VTTHX,Vanguard Target Retirement 2035 Fund,$25.11,,,$102.82B,US,,,Financial Services,Asset Management
MSTR,MicroStrategy Incorporated,$374.5,,,$102.39B,US,,3730356,Technology,Software - Application
KLAC,KLA Corporation,$755.125,,,$99.86B,US,,231416,Technology,Semiconductors
JLGMX,JPMorgan Large Cap Growth Fund Class R6,$83.99,,,$99.45B,US,,,Financial Services,Asset Management
SEEGX,JPMorgan Large Cap Growth Fund I Class,$79.87,,,$99.45B,US,,,Financial Services,Asset Management
JLGRX,JPMorgan Large Cap Growth Fund,$82.88,,,$99.45B,US,,,Financial Services,Asset Management
OLGAX,JPMorgan Large Cap Growth A,$77.43,,,$99.45B,US,,,,
FSKAX,Fidelity Total Market Index Fund,$162,,,$99.37B,US,,,Financial Services,Asset Management
CEG,Constellation Energy Corporation,$313.56,,,$98.28B,US,,889840,Utilities,Renewable Utilities
VTHRX,Vanguard Target Retirement 2030 Fund,$39.57,,,$96.45B,US,,,Financial Services,Asset Management
SBUX,Starbucks Corporation,$84.84,,,$96.41B,US,,2809939,Consumer Cyclical,Restaurants
TBCIX,T. Rowe Price Blue Chip Growth Fund I Class,$190.2,,,$95.37B,US,,,Financial Services,Asset Management
TRBCX,T. Rowe Price Blue Chip Growth Fund,$188.94,,,$94.74B,US,,,Financial Services,Asset Management
DODIX,Dodge & Cox Income Fund - Class I,$12.55,,,$94.42B,US,,,Financial Services,Asset Management - Income
CFAAX,American Funds Bond Fund of Amer 529A,$11.21,,,$92.66B,US,,,,
BFAFX,"The Bond Fund of America, Class F-1 Shares",$11.21,,,$92.66B,US,,,Financial Services,Asset Management - Bonds
VFORX,Vanguard Target Retirement 2040 Fund,$45.33,,,$92.23B,US,,,Financial Services,Asset Management
DODGX,Dodge & Cox Funds - Dodge & Cox Stock Fund,$262.73,,,$91.74B,US,,,Financial Services,Asset Management
PABGX,T. Rowe Price Blue Chip Growth Fund Advisor Class,$182.43,,,$91.48B,US,,,Financial Services,Asset Management
CTAS,Cintas Corporation,$225.24,,,$90.95B,US,,351550,Industrials,Specialty Business Services
VTIVX,Vanguard Target Retirement 2045 Fund,$31.18,,,$90.62B,US,,,Financial Services,Asset Management
DASH,"DoorDash, Inc.",$210.685,,,$89.28B,US,,1347601,Communication Services,Internet Content & Information
RAFFX,American Funds AMCAP R5,$44.63,,,$87.07B,US,,,Financial Services,Asset Management
MDLZ,"Mondelez International, Inc.",$67.15,,,$86.95B,US,,1532567,Consumer Defensive,Food Confectioners
EQIX,"Equinix, Inc.",$882.51,,,$86.33B,US,,85896,Real Estate,REIT - Specialty
INTC,Intel Corporation,$19.555,,,$85.30B,US,,27309199,Technology,Semiconductors
RRBGX,T. Rowe Price Blue Chip Growth Fund Class R,$169.96,,,$85.22B,US,,,Financial Services,Asset Management
PRUFX,T. Rowe Price Growth Stock Fund I Class,$105.34,,,$83.19B,US,,,Financial Services,Asset Management
AMCPX,American Funds AMCAP A,$43.39,,,$83.07B,US,,,Financial Services,Asset Management
AMPFX,American Funds AMCAP Fund,$42.82,,,$83.07B,US,,,Financial Services,Asset Management
PRGFX,T. Rowe Price Growth Stock Fund,$104.8,,,$82.76B,US,,,Financial Services,Asset Management
DODFX,Dodge & Cox International Stock Fund,$59.12,,,$81.48B,US,,,Financial Services,Asset Management
ABNB,"Airbnb, Inc.",$129.08,,,$80.86B,US,,1493066,Consumer Cyclical,Travel Services
FKINX,Franklin Income Fund Class A1,$2.37,,,$80.65B,US,,,Financial Services,Asset Management - Income
FNCFX,Franklin Income Fund Class R6,$2.35,,,$79.97B,US,,,Financial Services,Asset Management - Income
FRIAX,Franklin Income Fund,$2.34,,,$79.63B,US,,,,
TRSAX,T. Rowe Price Growth Stock Fund Advisor Class,$100.33,,,$79.23B,US,,,Financial Services,Asset Management
CDNS,"Cadence Design Systems, Inc.",$289.23,,,$78.97B,US,,712964,Technology,Software - Application
FTNT,"Fortinet, Inc.",$101.73,,,$77.87B,US,,1507315,Technology,Software - Infrastructure
VFIFX,Vanguard Target Retirement 2050 Fund,$52.54,,,$77.86B,US,,,Financial Services,Asset Management
ORLY,"O'Reilly Automotive, Inc.",$1366.02,,,$77.85B,US,,104400,Consumer Cyclical,Specialty Retail
VWITX,Vanguard Intermediate Term Tax-Exempt Fund,$13.35,,,$76.09B,US,,,Financial Services,Asset Management
RRGSX,T. Rowe Price Growth Stock Fund R Class,$94.34,,,$74.50B,US,,,Financial Services,Asset Management
ATVI,"Activision Blizzard, Inc.",$94.42,,,$74.29B,US,,7127746,Technology,Electronic Gaming & Multimedia
VTTVX,Vanguard Target Retirement 2025 Fund,$19.49,,,$72.95B,US,,,Financial Services,Asset Management
FIWGX,Strategic Advisers Fidelity Core Income Fund,$9.07,,,$72.58B,US,,,Financial Services,Asset Management
SWPPX,Schwab S&P 500 Index Fund- Select Shares,$91.22,,,$72.37B,US,,,Financial Services,Asset Management
MAR,"Marriott International, Inc.",$260.665,,,$71.40B,US,,408427,Consumer Cyclical,Travel Lodging
SNPS,"Synopsys, Inc.",$458.97,,,$71.21B,US,,434362,Technology,Software - Infrastructure
RMFGX,American Funds American Mutual Fund Class R-6,$57.6,,,$69.89B,US,,,Financial Services,Asset Management
AMRFX,American Funds American Mutual Fund,$57.53,,,$69.81B,US,,,Financial Services,Asset Management
CSPAX,American Funds SMALLCAP World 529A,$67.17,,,$69.80B,US,,,,
SMCWX,American Funds SMALLCAP World Fund Class A,$68.31,,,$69.80B,US,,,Financial Services,Asset Management
SCWFX,American Funds SMALLCAP World F1,$67.19,,,$69.80B,US,,,Financial Services,Asset Management
RSLAX,American Funds SMALLCAP World R1,$57.43,,,$69.80B,US,,,Financial Services,Asset Management
RLLGX,American Funds SMALLCAP World R6,$71.07,,,$69.80B,US,,,Financial Services,Asset Management
AMFFX,American Funds American Mutual Fund Class F-1,$57.2,,,$69.41B,US,,,Financial Services,Asset Management
VPMCX,Vanguard PrimeCap Fund,$162.72,,,$69.35B,US,,,Financial Services,Asset Management
PYPL,"PayPal Holdings, Inc.",$70.09,,,$68.16B,US,,2873929,Financial Services,Financial - Credit Services
AMPCX,American Funds AMCAP Fund Class C,$34.35,,,$67.02B,US,,,Financial Services,Asset Management
WDAY,"Workday, Inc.",$246.87,,,$65.91B,US,,674009,Technology,Software - Application
FBGRX,Fidelity Blue Chip Growth Fund,$218.98,,,$64.44B,US,,,Financial Services,Asset Management
ADSK,"Autodesk, Inc.",$293.58,,,$62.83B,US,,309035,Technology,Software - Application
COIN,"Coinbase Global, Inc.",$246.35,,,$62.75B,US,,2723172,Financial Services,Financial - Data & Stock Exchanges
NWFFX,American Funds New World Fund Cl F-1Shs,$83.82,,,$62.60B,US,,,Financial Services,Asset Management
NFFFX,American Funds New World F2,$84.19,,,$62.60B,US,,,Financial Services,Asset Management
CNWAX,American Funds New World 529A,$83.51,,,$62.60B,US,,,,
NEWFX,American Funds New World Fund Class A,$84.43,,,$62.60B,US,,,Financial Services,Asset Management
FXNAX,Fidelity U.S. Bond Index Fund,$10.31,,,$62.20B,US,,,Financial Services,Asset Management - Bonds
MNST,Monster Beverage Corporation,$63.29,,,$61.72B,US,,1729530,Consumer Defensive,Beverages - Non-Alcoholic
ROP,"Roper Technologies, Inc.",$566.41,,,$60.90B,US,,105618,Industrials,Industrial - Machinery
HOOD,"Robinhood Markets, Inc.",$67.225,,,$59.32B,US,,15099501,Technology,Software - Infrastructure
AXON,"Axon Enterprise, Inc.",$758.14,,,$59.02B,US,,173357,Industrials,Aerospace & Defense
FGCKX,Fidelity Growth Company K,$39.37,,,$58.89B,US,,,Financial Services,Asset Management
FSPSX,Fidelity Concord Street Trust - Fidelity International Index Fund,$55.93,,,$58.83B,US,,,Financial Services,Asset Management
CSX,CSX Corporation,$30.975,,,$58.19B,US,,8561238,Industrials,Railroads
FEGRX,First Eagle Global Fund Class R6,$74.88,,,$58.14B,US,,,Financial Services,Asset Management - Global
SGENX,First Eagle Global Fund,$74.33,,,$58.14B,US,,,Financial Services,Asset Management - Global
FESGX,First Eagle Global Fund Class C,$70.74,,,$58.14B,US,,,Financial Services,Asset Management - Global
PAYX,"Paychex, Inc.",$156.85,,,$56.50B,US,,367638,Industrials,Staffing & Employment Services
VWNFX,Vanguard Windsor II Fund,$45.12,,,$56.01B,US,,,Financial Services,Asset Management
CRWV,"CoreWeave, Inc. Class A Common Stock",$116.5475,,,$55.94B,US,,18095489,Technology,Software - Infrastructure
VEIPX,Vanguard Equity Income Fund,$43.12,,,$55.88B,US,,,Financial Services,Asset Management - Income
VTTWX,Vanguard Institutional Target Retirement 2030 Fund Institutional Shares,$28.83,,,$55.45B,US,,,Financial Services,Asset Management
AEP,"American Electric Power Company, Inc.",$102.98,,,$55.01B,US,,543765,Utilities,Regulated Electric
VBINX,Vanguard Balanced Index Fund,$48.31,,,$54.87B,US,,,Financial Services,Asset Management
MEIKX,MFS Value Fund Class R6,$50.27,,,$54.39B,US,,,Financial Services,Asset Management
MEIIX,MFS Value Fund Class I,$50.69,,,$54.39B,US,,,Financial Services,Asset Management
MEIAX,MFS Series Trust I - MFS Value Fund Class A,$50.29,,,$54.39B,US,,,Financial Services,Asset Management
CHTR,"Charter Communications, Inc.",$392.96,,,$54.28B,US,,411195,Communication Services,Telecommunications Services
FBALX,Fidelity Balanced Fund,$29.74,,,$53.54B,US,,,Financial Services,Asset Management
VFFVX,Vanguard Target Retirement 2055 Fund,$58.62,,,$53.40B,US,,,Financial Services,Asset Management
MRVL,"Marvell Technology, Inc.",$60.98,,,$52.68B,US,,7623038,Technology,Semiconductors
BAGIX,Baird Aggregate Bond Fund Institutional Class,$9.73,,,$52.65B,US,,,Financial Services,Asset Management - Bonds
BAGSX,Baird Aggregate Bond Fd Investor Class,$10.14,,,$52.65B,US,,,Financial Services,Asset Management - Bonds
REGN,"Regeneron Pharmaceuticals, Inc.",$494.97,,,$52.54B,US,,1162308,Healthcare,Biotechnology
GSIYX,Goldman Sachs GQG Partners International Opportunities Fund Class R6 Shares,$22.26,,,$50.30B,US,,,Financial Services,Asset Management
GSINX,Goldman Sachs GQG Partners International Opportunities Fund,$22.17,,,$50.30B,US,,,Financial Services,Asset Management
CPRT,"Copart, Inc.",$50.94,,,$49.21B,US,,2455867,Consumer Cyclical,Auto - Dealerships
JCBUX,JPMorgan Core Bond Fund,$10.21,,,$49.16B,US,,,,
JCBZX,JPMorgan Core Bond Fund Class R2,$10.19,,,$49.16B,US,,,Financial Services,Asset Management - Bonds
WOBDX,JPMorgan Core Bond Fund,$10.2,,,$49.16B,US,,,Financial Services,Asset Management - Bonds
OAKIX,Oakmark International Fund Investor Class,$29.5,,,$48.76B,US,,,Financial Services,Asset Management
RFETX,American Funds 2030 Target Date Retirement Fund,$18.13,,,$48.53B,US,,,Financial Services,Asset Management
FAETX,American Funds 2030 Target Date Retirement Fd Cl F-1,$17.84,,,$48.53B,US,,,Financial Services,Asset Management
PCAR,PACCAR Inc,$92.01,,,$48.30B,US,,651090,Industrials,Agricultural - Machinery
AAFTX,American Funds 2035 Target Date Retirement Fund,$19.86,,,$48.29B,US,,,Financial Services,Asset Management
RFFTX,American Funds 2035 Trgt Date Retire R6,$20,,,$48.29B,US,,,Financial Services,Asset Management
FAQTX,American Funds 2035 Target Date Retirement Fd Cl F-1,$19.7,,,$48.29B,US,,,Financial Services,Asset Management
VWIAX,Vanguard Wellesley Income Fund,$61.25,,,$48.05B,US,,,Financial Services,Asset Management - Income
NDAQ,"Nasdaq, Inc.",$83.47,,,$47.92B,US,,693265,Financial Services,Financial - Data & Stock Exchanges
FUSIX,Strategic Advisers Fidelity International Fund,$13.9,,,$47.56B,US,,,Financial Services,Asset Management
TIEIX,TIAA-CREF Equity Index Fund,$41.26,,,$47.51B,US,,,Financial Services,Asset Management
VIRSX,Vanguard Institutional Target Retirement 2040 Fund Institutional Shares,$30.89,,,$47.41B,US,,,Financial Services,Asset Management
FAST,Fastenal Company,$40.77,,,$46.77B,US,,1251358,Industrials,Industrial - Distribution
ROST,"Ross Stores, Inc.",$140.04,,,$46.05B,US,,684714,Consumer Cyclical,Apparel - Retail
ZS,"Zscaler, Inc.",$288.815,,,$44.97B,US,,2576692,Technology,Software - Infrastructure
BSPAX,iShares S&P 500 Index Fund Investor A Shares,$692.64,,,$44.95B,US,,,Financial Services,Asset Management
WFSPX,iShares S&P 500 Index K,$693.26,,,$44.95B,US,,,,
BSPIX,iShares S&P 500 Index Fund Institutional Shares,$693.02,,,$44.95B,US,,,Financial Services,Asset Management
KDP,Keurig Dr Pepper Inc.,$32.895,,,$44.68B,US,,4915247,Consumer Defensive,Beverages - Non-Alcoholic
PTTRX,PIMCO Total Return Fund Institutional Class,$8.54,,,$44.52B,US,,,Financial Services,Asset Management
VRSK,"Verisk Analytics, Inc.",$314.83,,,$44.04B,US,,169521,Industrials,Consulting Services
EXC,Exelon Corporation,$43.555,,,$43.97B,US,,1388644,Utilities,Regulated Electric
AAGTX,American Funds 2040 Target Date Retirement Fund Class A,$21.47,,,$43.89B,US,,,Financial Services,Asset Management
RFGTX,American Funds 2040 Target Date Retirement Fund Class R-6,$21.64,,,$43.89B,US,,,Financial Services,Asset Management
FAUTX,American Funds 2040 Target Date Retirement Fd Cl F-1,$21.28,,,$43.89B,US,,,Financial Services,Asset Management
RCKTX,American Funds 2040 Trgt Date Retire R3,$21.16,,,$43.89B,US,,,,
REGTX,American Funds 2040 Trgt Date Retire R5,$21.74,,,$43.89B,US,,,,
SGEN,Seagen Inc.,$228.74,,,$43.15B,US,,19392808,Healthcare,Biotechnology
VWIGX,Vanguard International Growth Fund,$35.62,,,$42.44B,US,,,Financial Services,Asset Management
VWILX,Vanguard World Fund - Vanguard International Growth Fund,$113.28,,,$42.44B,US,,,Financial Services,Asset Management
VWUSX,Vanguard U.S. Growth Fund,$72.41,,,$42.35B,US,,,Financial Services,Asset Management
LLDYX,Lord Abbett Short Duration Income I,$3.87,,,$42.23B,US,,,Financial Services,Asset Management - Income
LDLVX,Lord Abbett Short Duration Income Fund,$3.87,,,$42.23B,US,,,Financial Services,Asset Management - Income
LOLDX,Lord Abbett Short Duration Income F3,$3.88,,,$42.23B,US,,,,
OIEJX,JPMorgan Equity Income Fund Class R6,$24.29,,,$41.95B,US,,,Financial Services,Asset Management - Income
HLIEX,JPMorgan Equity Income Fund I Class,$24.3,,,$41.95B,US,,,Financial Services,Asset Management - Income
OIEIX,JPMorgan Equity Income A,$23.76,,,$41.95B,US,,,,
MFEGX,MFS Growth Fund Class A,$183.15,,,$41.78B,US,,,Financial Services,Asset Management
MFEKX,MFS Growth R6,$204.5,,,$41.78B,US,,,,
MFEJX,MFS Growth R4,$195.3,,,$41.78B,US,,,,
MFEIX,MFS Growth Fund,$202.52,,,$41.78B,US,,,Financial Services,Asset Management
IDXX,"IDEXX Laboratories, Inc.",$511.665,,,$41.15B,US,,158124,Healthcare,Medical - Diagnostics & Research
CDDYX,Columbia Dividend Income Fund,$34.72,,,$40.51B,US,,,Financial Services,Asset Management
DDOG,"Datadog, Inc.",$116.6697,,,$40.29B,US,,1511218,Technology,Software - Application
FANG,"Diamondback Energy, Inc.",$137.41,,,$40.15B,US,,754506,Energy,Oil & Gas Exploration & Production
XEL,Xcel Energy Inc.,$69.35,,,$40.00B,US,,730311,Utilities,Regulated Electric
TTWO,"Take-Two Interactive Software, Inc.",$224.8,,,$39.89B,US,,857597,Technology,Electronic Gaming & Multimedia
ALNY,"Alnylam Pharmaceuticals, Inc.",$304.92,,,$39.76B,US,,397871,Healthcare,Biotechnology
MDIZX,MFS International Diversification Fund Class R6,$26.07,,,$39.71B,US,,,Financial Services,Asset Management
MDIJX,MFS International Diversification Fund,$26.05,,,$39.71B,US,,,Financial Services,Asset Management
MDIDX,MFS International Diversification Fund Class A,$25.71,,,$39.71B,US,,,Financial Services,Asset Management
CTSH,Cognizant Technology Solutions Corporation,$80.17,,,$39.52B,US,,882358,Technology,Information Technology Services
BBCPX,Bridge Builder Core Plus Bond,$8.74,,,$39.47B,US,,,,
FTBFX,Fidelity Total Bond,$9.47,,,$39.03B,US,,,Financial Services,Asset Management - Bonds
VGHCX,Vanguard Health Care Fund,$171.69,,,$38.20B,US,,,Financial Services,Asset Management
BCOSX,Baird Core Plus Bond Fund Investor Class,$10.61,,,$38.18B,US,,,Financial Services,Asset Management - Bonds
BCOIX,Baird Core Plus Bond Fund Institutional Class,$10.09,,,$38.18B,US,,,Financial Services,Asset Management - Bonds
AAHTX,American Funds 2045 Trgt Date Retire A,$22.14,,,$37.85B,US,,,Financial Services,Asset Management
FATTX,American Funds 2045 Target Date Retirement Fd Cl F-1,$21.95,,,$37.85B,US,,,Financial Services,Asset Management
RBHTX,American Funds 2045 Target Date Retirement Fund Class R-2,$21.37,,,$37.85B,US,,,Financial Services,Asset Management
FSMDX,Fidelity Mid Cap Index Fund,$34.12,,,$37.69B,US,,,Financial Services,Asset Management
ODVIX,Invesco Developing Markets Fund Class R6,$40.39,,,$37.55B,US,,,Financial Services,Asset Management
BKR,Baker Hughes Company,$37.37,,,$37.02B,US,,1924127,Energy,Oil & Gas Equipment & Services
TRLGX,T. Rowe Price Large-Cap Growth Fund I Class,$83.19,,,$36.87B,US,,,Financial Services,Asset Management
