Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
PJEZX,PGIM US Real Estate Fund Class Z,$15.44,,,$135.09M,US,,,Real Estate,Real Estate - General
BDTX,"Black Diamond Therapeutics, Inc.",$2.375,,,$135.05M,US,,611184,Healthcare,Biotechnology
BOOM,DMC Global Inc.,$6.58,,,$134.83M,US,,88048,Energy,Oil & Gas Equipment & Services
RYDVX,Royce Dividend Value Fund Service Class,$6.01,,,$134.82M,US,,,Financial Services,Asset Management
SAMG,Silvercrest Asset Management Group Inc.,$14.54,,,$134.65M,US,,22716,Financial Services,Asset Management
REDWX,Aspiration Redwood,$17.28,,,$134.50M,US,,,,
ASQIX,American Century Small Company Fund Investor Class,$15.45,,,$134.27M,US,,,Financial Services,Asset Management
NELCX,Nuveen Equity Long/Short Fund,$50.65,,,$134.15M,US,,,Financial Services,Asset Management - Leveraged
NELAX,Nuveen Equity Long/Short Fund Class A,$58.08,,,$134.15M,US,,,Financial Services,Asset Management - Leveraged
NELIX,Nuveen Equity Long/Short Fund Class I,$60.64,,,$134.15M,US,,,Financial Services,Asset Management - Leveraged
CPSI,"Computer Programs and Systems, Inc.",$9.19,,,$133.71M,US,,534996,Healthcare,Medical - Healthcare Information Services
FNCB,"FNCB Bancorp, Inc.",$6.75,,,$133.62M,US,,82420,Financial Services,Banks - Regional
EBMT,"Eagle Bancorp Montana, Inc.",$16.8,,,$133.60M,US,,11887,Financial Services,Banks - Regional
RSMRX,RBC SMID Cap Growth Fund,$14.88,,,$133.50M,US,,,Financial Services,Asset Management
GLSI,"Greenwich LifeSciences, Inc.",$9.98,,,$133.42M,US,,7502,Healthcare,Biotechnology
AMIDX,Amana Developing World Fund Institutional Class,$13.1,,,$133.41M,US,,,Financial Services,Asset Management
AMDWX,Amana Mutual Funds Trust Developing World Fund,$13.05,,,$133.41M,US,,,Financial Services,Asset Management
CSLR,"Complete Solaria, Inc.",$1.805,,,$133.15M,US,,934474,Energy,Solar
BUFMX,Buffalo Mid Cap Fund,$16.39,,,$132.94M,US,,,Financial Services,Asset Management
ETMAX,Eaton Vance MA Municipal Income A,$7.58,,,$132.78M,US,,,Financial Services,Asset Management - Income
ENTA,"Enanta Pharmaceuticals, Inc.",$6.21,,,$132.75M,US,,31875,Healthcare,Biotechnology
NNAG,99 Acquisition Group Inc. Class A Common Stock,$10.55,,,$132.67M,US,,322197,Financial Services,Shell Companies
ZLS,Zalatoris II Acquisition Corp.,$11.09,,,$132.65M,US,,2446,Financial Services,Shell Companies
REKR,"Rekor Systems, Inc.",$1.12,,,$132.25M,US,,1506037,Technology,Software - Infrastructure
FWOMX,Fidelity Women's Leadership Fund,$16.9,,,$132.11M,US,,,Financial Services,Asset Management
RPGIX,T. Rowe Price Global Industrials,$21.04,,,$131.69M,US,,,Financial Services,Asset Management - Global
WCERX,Virtus Westchester Event-Driven Fund Class - A,$10.83,,,$131.55M,US,,,Financial Services,Asset Management
LUNG,Pulmonx Corporation,$3.26,,,$131.24M,US,,310532,Healthcare,Medical - Devices
LIFE,"aTyr Pharma, Inc.",$1.9,,,$131.12M,US,,267893,Healthcare,Biotechnology
SEER,"Seer, Inc.",$2.225,,,$130.93M,US,,189422,Healthcare,Biotechnology
TUSK,"Mammoth Energy Services, Inc.",$2.715,,,$130.67M,US,,23998,Industrials,Conglomerates
DSIBX,BNY Mellon Short Term Municipal Bond Fund Class D,$12.79,,,$130.61M,US,,,Financial Services,Asset Management - Bonds
ALDX,"Aldeyra Therapeutics, Inc.",$2.18,,,$130.57M,US,,475777,Healthcare,Biotechnology
SCAQ,Stratim Cloud Acquisition Corp.,$10.43,,,$130.43M,US,,590885,Financial Services,Shell Companies
SGHL,Signal Hill Acquisition Corp.,$10.425,,,$130.31M,US,,108024,Financial Services,Shell Companies
PFJDX,PFG JP Morgan Tactical Moderate Strategy Fund,$11.43,,,$130.22M,US,,,Financial Services,Asset Management
MPFDX,Morgan Stanley Insti Fd Tr Investment Grade Fixed Income Pft Cl I,$10.47,,,$130.11M,US,,,Financial Services,Asset Management - Income
FMIEX,Wasatch - 1st Source  Income Equity Fund,$10.15,,,$129.96M,US,,,Financial Services,Asset Management - Income
PVIVX,Paradigm Micro-Cap Fund,$45.71,,,$129.91M,US,,,Financial Services,Asset Management
JCACX,Janus Henderson Global Allocation Fund - Conservative,$11.74,,,$129.79M,US,,,Financial Services,Asset Management - Global
JSPCX,Janus Henderson Global Allocation Fund - Conservative - T Shares,$12.02,,,$129.79M,US,,,Financial Services,Asset Management - Global
JCAIX,Janus Henderson Global Allocation Fund - Conservative - I Shares,$12.05,,,$129.79M,US,,,Financial Services,Asset Management - Global
LFAC,LF Capital Acquisition Corp. II,$10.84,,,$129.76M,US,,1316,Financial Services,Shell Companies
MLVF,"Malvern Bancorp, Inc.",$16.97,,,$129.73M,US,,44597,Financial Services,Banks - Regional
RBKB,"Rhinebeck Bancorp, Inc.",$11.68,,,$129.63M,US,,2283,Financial Services,Banks - Regional
